ID,Prediction
1,61.3973353026
2,71.2288686452
3,63.9938353298
4,83.1279194462
5,74.4132764304
6,66.8659411429
7,62.6000331673
8,40.8251733633
9,54.608175827
10,42.8964565217
11,24.7897645514
12,51.5510739178
13,66.7560313749
14,32.7684817141
15,26.3074779227
16,63.4225486324
17,26.2939240949
18,70.2303898779
19,82.4942713082
20,89.8638034044
21,75.0517501
22,23.0834977205
23,65.648474161
24,82.980519738
25,76.4941027401
26,30.2999515142
27,69.4612555079
28,23.2861161409
29,20.5885797506
30,26.3910145215
31,64.3364061254
32,41.1949202698
33,21.7486349649
34,38.0454558965
35,24.130550074
36,68.7248035201
37,90.557646514
38,83.3247140749
39,67.3255029665
40,84.8584631092
41,57.1625367918
42,76.0783439565
43,71.1850519749
44,38.0280413322
45,74.6301249462
46,53.7572594466
47,38.1926700065
48,32.3082929319
49,16.7834333503
50,65.663008696
51,36.0961224424
52,92.6174579792
53,20.9347347291
54,43.1056853177
55,33.6498210662
56,92.4623450003
57,80.2570148705
58,77.8114799817
59,22.0908476623
60,56.3918465842
61,61.4465995287
62,73.7677825772
63,31.9427931745
64,58.9603463276
65,21.9467010906
66,37.1830085109
67,27.6964376984
68,21.8688752061
69,79.7545840056
70,73.0151678916
71,88.2902120275
72,83.8197171492
73,16.020662584
74,22.9445944406
75,74.957160287
76,75.2073507128
77,45.9889908268
78,69.8280287601
79,57.2119276575
80,29.3811380891
81,62.2183548933
82,80.9447298243
83,82.3305305059
84,47.577699691
85,23.0060479397
86,78.3506377219
87,25.3767247272
88,49.9944705876
89,36.5715843419
90,74.5116582405
91,16.9733082235
92,70.0822842042
93,42.8580535396
94,21.8514256979
95,76.2086174438
96,84.2557573426
97,62.6938983185
98,79.0641943679
99,48.5144857522
100,42.7849871769
101,51.4040486792
102,42.6623774123
103,45.6249837964
104,87.2591914193
105,22.2424453857
106,38.474453373
107,84.9269709447
108,31.2820946295
109,25.8577521194
110,67.2998213265
111,14.7311839078
112,24.1007345442
113,11.6911015086
114,67.4160373615
115,95.6140368998
116,29.9166424328
117,70.6685241454
118,61.7917725016
119,43.918469386
120,26.3499867783
121,28.0326423038
122,11.2109293365
123,28.7771047708
124,33.9442549952
125,57.5335772256
126,42.166033162
127,26.6651368536
128,55.6541593278
129,21.6325935881
130,80.6457944049
131,14.5836852265
132,28.8927650024
133,22.6247770963
134,29.6210995974
135,25.5560580411
136,13.8878546956
137,78.7776229755
138,82.2419561721
